Year,Length,Title,Actor,Actress,Director,Popularity,Awards
51,43,775,116,93,236,83,0
70,20,618,120,93,670,62,0
35,55,746,475,94,17,67,0
58,83,442,418,95,239,86,0
5,93,1264,526,96,634,44,1
69,60,751,127,97,422,6,0
66,143,499,163,97,549,15,0
62,73,639,310,98,34,10,1
67,75,988,191,98,190,48,0
50,83,1108,437,99,274,83,1
35,50,1180,216,100,473,50,0
63,55,596,465,101,525,45,0
67,89,301,170,102,493,76,0
25,64,191,205,103,214,73,0
64,45,430,296,104,302,66,0
42,77,779,77,105,639,9,0
57,58,461,24,106,59,58,0
65,74,453,217,107,480,17,0
55,68,266,180,108,149,64,0
65,71,316,314,108,151,29,0
65,44,496,629,109,350,13,0
50,76,399,591,110,226,28,1
52,66,61,354,110,670,82,1
59,48,402,64,111,334,70,0
29,63,1241,104,112,216,4,0
31,6,590,162,113,13,62,0
66,68,1020,209,114,362,18,0
67,56,391,281,115,105,6,0
48,52,86,127,115,387,1,0
60,7,413,458,116,121,28,0
66,34,1065,55,117,60,19,0
64,45,929,197,118,163,40,0
61,48,138,416,118,298,75,0
61,53,368,494,118,521,63,0
66,79,163,180,118,550,73,0
40,92,2,400,119,200,80,1
12,19,849,219,120,102,33,0
65,57,1286,594,121,188,71,0
43,118,604,39,122,124,63,0
51,140,926,295,122,250,28,1
54,58,605,363,123,594,54,0
60,58,148,105,124,390,51,0
13,38,1027,380,125,276,50,0
63,26,868,387,126,670,40,0
49,26,151,344,127,599,50,0
64,73,451,105,128,390,14,0
67,61,510,227,129,159,61,0
59,46,410,473,129,265,65,0
64,143,733,403,130,244,23,0
54,45,936,417,131,151,34,0
67,143,874,549,132,192,32,0
66,44,1218,479,133,350,15,0
47,3,181,367,134,670,22,0
20,53,338,525,135,556,87,0
69,53,873,596,136,494,85,0
66,67,1197,385,137,388,86,0
64,57,778,102,138,310,6,1
64,73,1271,440,138,428,8,0
56,82,777,418,139,234,32,0
61,60,132,160,140,356,72,0
63,42,998,319,140,670,16,0
66,44,810,364,141,507,77,0
52,63,1042,37,142,23,69,1
62,65,908,266,142,387,43,0
42,76,310,277,142,541,44,1
40,74,1204,77,143,195,63,0
8,23,76,528,144,597,66,0
8,64,158,623,144,623,22,0
44,65,556,437,145,509,50,0
45,57,278,191,146,566,57,0
66,45,882,472,147,471,12,0
64,72,1055,480,148,340,7,0
57,45,607,180,148,630,0,0
65,73,304,389,149,224,77,0
67,65,968,314,149,546,73,1
68,73,753,17,149,590,74,0
23,59,1172,628,150,670,65,0
64,55,682,106,151,158,20,0
25,35,990,578,152,276,39,0
39,45,976,294,153,463,37,0
66,62,1049,131,154,234,51,0
69,89,254,589,154,312,87,0
43,53,98,77,155,228,15,0
63,42,1035,601,156,199,49,0
68,50,538,71,157,36,72,0
38,21,1173,373,158,139,4,0
67,64,1246,191,159,190,66,0
39,64,1121,356,160,82,11,1
66,44,924,370,161,543,20,0
68,49,815,407,162,576,31,0
66,57,887,264,163,351,27,0
