Year,Length,Title,Actor,Actress,Director,Popularity,Awards
51,65,750,623,463,588,73,0
18,39,651,623,464,621,38,0
67,56,1231,392,465,176,29,0
17,59,696,623,466,216,88,0
32,54,1191,220,466,276,28,0
64,16,390,619,467,404,44,0
40,66,572,437,468,509,2,1
28,65,854,623,468,670,5,0
64,37,1126,80,469,230,50,0
33,78,1138,77,470,400,11,0
69,42,115,631,471,670,61,0
47,45,722,418,472,171,75,0
68,62,917,181,473,527,58,0
65,37,276,363,474,670,27,0
0,13,331,306,475,84,89,0
57,63,1251,416,476,632,25,0
68,64,1095,554,477,425,11,0
66,61,1094,554,477,560,87,0
68,39,252,410,478,383,78,0
63,41,260,574,479,143,57,0
64,57,147,427,479,551,37,0
67,44,961,544,479,670,40,0
27,47,1167,455,480,59,65,0
69,66,708,628,481,670,45,0
35,82,1221,578,482,276,10,0
64,45,1292,338,483,55,47,0
23,47,287,395,484,500,25,0
18,13,212,92,485,596,85,0
17,13,667,92,485,596,87,0
18,12,727,92,485,596,85,0
69,91,694,488,486,216,26,0
27,59,972,623,486,216,64,0
34,61,1266,623,486,216,29,0
16,48,609,365,486,276,75,0
48,64,153,623,486,563,68,0
69,106,931,623,486,670,74,0
60,27,55,331,491,59,0,0
29,44,154,623,492,386,14,0
46,55,1072,216,492,455,62,0
30,33,1256,77,487,53,26,0
6,83,734,86,493,276,65,0
55,80,599,295,488,213,40,0
58,58,1015,360,489,151,32,0
63,52,1187,489,494,572,47,0
59,46,1,444,490,275,67,0
62,62,1189,281,495,410,62,1
32,70,767,213,496,216,8,1
46,81,1294,414,497,144,72,1
64,93,748,640,498,303,45,0
46,68,518,646,498,506,39,0
68,71,647,335,499,65,6,0
70,49,557,100,500,58,53,0
65,44,493,193,500,593,10,0
53,82,1054,397,501,294,0,0
63,48,27,388,502,648,23,0
61,49,477,432,503,581,75,0
67,49,1178,466,504,206,8,0
63,66,460,435,505,118,36,0
61,56,952,166,506,170,21,0
69,54,257,507,506,670,88,0
63,43,1235,105,507,123,47,0
55,42,1061,90,508,93,27,0
66,76,891,191,508,190,12,0
56,48,613,396,508,498,22,0
57,119,1260,197,509,132,75,0
63,61,1130,7,510,2,12,0
59,69,505,115,510,68,64,0
66,58,739,412,510,174,8,0
62,75,654,87,510,185,68,0
66,68,403,84,510,338,66,0
62,69,602,250,510,352,62,0
68,78,1000,127,510,540,3,0
65,70,1144,242,510,606,50,0
66,28,111,422,510,670,87,0
48,62,659,300,511,286,22,0
50,60,346,452,511,427,83,0
65,141,687,317,512,193,12,0
4,32,788,527,513,597,31,0
66,47,1034,224,514,586,59,0
67,43,7,314,515,650,0,0
39,73,987,175,516,161,39,0
69,75,372,286,517,249,28,0
68,42,193,575,518,37,59,0
65,48,546,548,519,57,80,0
65,50,484,567,520,670,9,0
67,49,306,275,521,580,88,0
39,77,400,216,522,192,77,0
49,59,549,177,523,134,42,0
42,62,1242,451,524,184,83,0
42,62,1243,549,524,184,46,0
60,52,863,46,524,595,8,0
65,44,798,441,525,667,9,0
67,60,588,497,526,591,50,0
65,61,1198,544,527,502,23,0
65,48,401,610,527,600,67,0
66,48,799,384,528,128,7,0
64,41,768,498,528,612,36,0
69,143,897,552,528,670,45,0
47,54,43,180,529,539,3,0
67,47,1237,502,530,580,6,0
68,73,814,9,531,139,6,0
64,51,367,520,532,468,66,0
64,57,107,391,533,394,35,0
66,76,934,76,534,519,6,0
26,54,422,623,535,622,74,0
51,58,1296,127,536,80,6,0
66,38,902,566,537,79,29,0
65,44,901,238,537,443,59,0
63,38,900,263,537,464,6,0
68,16,77,299,538,625,54,0
54,54,627,215,539,666,75,1
48,65,341,505,540,527,69,0
61,44,949,216,541,554,73,0
67,51,220,645,542,182,28,0
63,58,141,645,542,577,88,0
62,89,322,289,543,542,13,0
70,58,606,216,544,670,80,0
66,42,772,383,545,670,29,0
64,106,388,389,546,576,6,0
68,56,268,620,547,545,5,0
46,89,844,368,548,294,66,0
63,50,913,576,549,177,75,0
64,44,862,370,549,670,49,0
20,16,692,92,550,596,27,0
63,52,1119,235,551,512,11,0
64,47,894,396,552,291,73,0
67,73,912,241,553,406,43,0
68,65,438,587,553,547,19,0
68,96,559,645,553,576,4,0
17,12,970,92,554,596,17,0
69,9,503,21,555,670,20,0
67,60,336,534,556,117,58,0
63,65,515,341,556,288,59,0
69,50,1052,250,556,592,5,0
28,55,1112,256,557,276,17,0
56,128,1005,197,557,605,86,0
68,41,1166,165,558,438,53,0
57,46,981,297,559,136,80,0
46,64,214,437,559,274,29,1
45,75,543,623,559,421,22,0
57,46,424,178,559,594,35,0
63,74,184,385,560,388,6,0
66,64,286,156,560,670,28,0
53,44,161,111,561,15,24,1
65,35,93,266,562,7,7,0
69,82,818,45,562,307,24,0
65,46,885,73,563,568,42,0
69,92,431,645,564,236,8,1
68,52,94,491,564,475,75,0
35,114,1291,77,565,180,10,0
65,43,242,234,566,490,79,0
67,52,1184,307,566,670,5,0
24,50,87,623,567,246,84,0
67,63,586,200,568,376,23,0
65,45,1182,454,568,511,48,0
68,64,455,199,569,506,26,0
16,63,619,623,570,670,30,0
65,35,1070,549,571,171,24,0
64,74,593,494,572,159,41,0
65,51,910,127,572,300,4,0
67,56,617,272,572,467,17,0
68,89,357,347,572,586,60,0
67,52,1239,155,573,0,41,0
49,53,226,294,574,72,60,0
68,89,831,257,574,276,20,0
43,81,1001,508,574,309,89,2
69,132,397,437,574,483,13,0
59,82,121,453,575,301,88,0
62,50,857,558,576,595,86,0
48,44,469,108,577,166,42,1
51,59,1105,591,577,256,20,0
50,54,709,437,577,296,65,0
45,59,872,121,578,64,26,0
47,61,274,611,578,64,72,0
48,56,347,191,579,566,72,0
63,57,419,87,580,291,12,0
63,43,675,143,580,550,42,0
61,64,206,181,581,315,48,0
66,51,11,586,581,462,71,0
52,59,980,260,581,559,59,0
45,141,1234,604,582,78,80,1
69,50,328,196,583,670,79,0
68,44,128,120,584,670,9,0
56,44,415,120,584,670,46,0
68,34,492,493,585,608,30,0
67,37,1202,493,585,670,27,0
67,143,544,440,586,670,1,0
52,72,875,440,587,19,32,0
50,81,662,77,587,64,28,0
64,108,591,563,588,235,72,0
1,49,645,379,589,353,74,0
43,56,621,596,590,636,69,0
63,44,534,509,591,205,88,0
67,143,689,418,591,670,62,0
49,54,669,513,592,98,4,1
63,37,182,435,593,403,38,0
60,77,118,473,593,515,7,0
63,36,1252,448,594,101,54,0
48,72,660,72,595,73,62,1
65,47,342,283,596,594,58,0
58,69,392,285,596,662,20,0
53,44,979,574,597,30,78,1
65,57,262,143,598,182,13,0
13,31,1004,293,599,276,74,0
54,59,710,653,600,433,11,1
62,12,452,52,601,670,86,0
31,64,334,77,602,341,22,0
37,122,1083,178,602,345,67,1
32,104,516,77,602,398,70,1
69,49,1214,437,602,652,77,0
65,70,271,427,603,352,11,0
40,47,683,485,604,479,36,1
64,53,975,248,605,295,3,0
63,47,1002,166,606,0,84,0
64,64,1030,221,606,516,5,0
42,82,1053,355,607,318,37,1
65,55,464,117,608,274,30,0
65,74,693,301,609,122,24,0
55,57,222,105,609,516,11,1
63,51,749,199,610,336,40,0
62,70,865,191,611,190,45,0
67,42,640,58,612,638,41,0
63,44,456,577,613,233,29,0
62,42,982,312,614,304,31,0
41,55,25,549,615,192,51,0
56,42,1186,636,615,670,2,0
59,76,764,374,616,144,30,0
66,53,890,65,617,565,20,0
64,51,527,424,617,565,36,0
67,143,343,127,618,259,8,0
10,27,113,81,619,247,66,0
69,49,1224,216,619,412,25,0
62,71,263,11,620,288,45,1
63,50,259,120,621,437,10,0
70,57,986,416,622,670,8,0
58,65,859,127,623,300,7,0
44,68,521,191,624,482,67,0
69,77,127,180,625,617,41,0
67,67,1181,544,625,617,8,0
64,69,1090,181,626,35,13,0
69,58,1212,515,627,457,89,2
44,39,1188,214,628,140,64,0
64,89,603,440,629,34,32,0
56,143,644,289,629,56,8,1
65,143,1107,543,629,56,42,0
68,66,327,89,629,91,75,0
55,121,326,163,629,117,82,1
61,60,406,163,629,252,31,0
63,62,537,440,629,451,57,0
60,85,1062,537,629,451,52,0
59,105,1079,350,629,460,64,1
62,111,855,503,629,481,88,1
58,81,457,314,629,501,37,0
62,78,898,154,629,540,9,0
65,76,9,434,629,540,67,0
66,53,1045,38,629,555,43,0
69,57,321,647,629,663,61,0
68,4,631,637,629,670,36,0
47,83,846,414,630,431,67,0
64,54,838,181,630,509,52,0
60,88,1288,467,630,587,46,0
45,105,465,552,630,656,30,1
67,51,418,609,631,607,39,0
47,94,351,656,632,347,75,0
64,143,1056,362,633,117,41,0
18,71,1074,394,634,150,2,0
61,56,1133,449,635,629,5,0
26,32,340,390,636,59,66,0
66,53,370,223,637,57,6,1
68,65,1037,608,637,670,35,0
60,59,144,500,638,18,54,0
34,117,946,123,638,180,74,0
52,55,369,31,638,251,72,0
44,63,963,77,638,296,81,0
49,64,1285,105,638,297,87,0
45,63,1029,411,638,382,60,0
40,136,258,96,638,398,80,0
27,143,414,597,638,431,54,0
69,84,1250,96,638,451,82,1
54,64,17,109,638,484,61,0
33,130,480,308,638,583,61,1
62,48,994,190,638,609,62,0
20,44,656,407,638,642,79,0
70,30,964,70,638,670,26,0
49,62,519,96,638,670,80,0
68,16,1123,133,638,670,21,0
68,143,385,210,638,670,21,0
50,53,104,213,638,670,54,0
68,71,664,326,638,670,13,0
8,79,251,174,639,524,44,1
69,37,96,85,640,140,32,0
61,143,471,626,641,670,60,0
65,55,796,423,642,472,74,0
68,49,352,482,642,535,66,0
12,134,47,512,643,50,87,0
65,16,308,421,644,647,85,0
57,51,735,436,645,136,76,0
25,81,446,213,646,216,4,0
14,54,1238,529,646,216,78,0
64,45,155,98,647,397,5,0
65,39,353,583,648,413,44,1
60,45,68,143,649,113,65,0
64,47,1077,580,649,177,16,0
67,41,66,622,649,177,33,0
62,70,117,221,649,663,9,0
40,34,1267,60,650,59,2,0
40,49,1059,390,650,59,79,0
36,54,719,591,650,59,3,0
38,107,450,216,650,431,71,0
63,53,296,491,651,20,41,0
66,42,240,148,652,670,42,0
67,64,190,216,652,670,7,0
66,63,673,223,653,30,51,0
63,133,845,363,654,421,53,0
18,48,1150,292,655,407,79,0
16,34,69,623,655,556,53,0
17,49,309,623,655,623,52,0
63,57,880,103,656,139,62,0
66,38,319,163,656,146,57,0
62,84,919,440,656,296,25,1
60,44,729,396,656,498,68,0
61,55,293,475,656,527,4,0
62,60,615,180,656,598,68,0
61,60,985,180,656,664,83,0
65,75,40,310,656,670,56,1
32,71,1022,623,657,198,4,0
35,52,92,127,657,670,4,0
65,44,227,490,658,358,56,0
63,45,782,316,659,46,10,0
45,93,0,183,659,345,83,0
43,35,886,60,660,59,81,1
50,143,1019,331,660,59,3,1
45,42,567,591,660,59,37,0
46,55,876,591,660,59,6,0
61,50,305,112,660,173,7,1
34,101,1013,77,661,377,19,1
45,109,1245,96,662,293,57,0
62,49,1139,221,663,158,58,0
67,42,75,158,664,326,30,0
50,143,866,72,674,90,7,1
36,42,1225,591,665,59,8,1
47,51,1084,88,666,64,45,0
48,56,896,191,675,190,47,0
58,42,490,157,675,344,65,0
44,81,280,437,667,514,49,1
65,43,888,51,668,478,85,0
67,39,288,228,676,39,75,0
68,68,51,468,677,212,33,0
69,75,249,77,677,239,39,0
63,63,1293,535,678,368,16,0
68,58,349,221,679,111,64,0
65,50,120,138,680,520,71,0
63,91,65,56,681,103,82,0
69,69,63,186,681,204,59,0
72,63,64,476,681,308,60,0
56,71,62,565,681,550,83,0
62,51,851,170,681,620,64,0
61,50,1076,324,682,210,50,0
50,50,123,420,682,260,73,0
51,36,238,94,682,661,84,0
49,46,467,514,683,128,37,0
43,55,1051,400,683,164,89,2
44,61,134,132,683,183,67,0
54,74,916,505,683,208,86,0
46,64,850,514,683,250,48,0
52,44,1258,182,683,303,75,0
45,60,122,578,683,421,9,0
50,73,665,124,683,516,39,0
49,41,523,68,683,670,9,0
67,143,1081,330,683,670,13,0
65,111,160,632,669,190,24,0
32,16,752,269,670,670,82,0
64,42,541,369,671,304,74,0
43,80,447,374,684,643,3,1
67,46,1120,651,685,216,46,0
64,60,1087,340,686,20,23,0
47,45,1098,641,687,657,62,0
66,61,720,557,688,626,64,0
67,62,201,221,689,90,30,0
64,51,701,468,689,547,67,0
66,47,279,201,689,555,43,0
51,68,277,266,690,139,59,1
50,66,82,181,690,385,39,1
30,50,307,361,691,624,67,0
57,65,1109,491,692,479,40,0
66,45,1290,550,693,558,47,0
33,37,635,279,694,345,51,0
50,56,221,623,694,421,12,0
66,44,1011,231,695,653,24,0
69,93,1046,389,696,64,64,0
59,79,83,241,696,254,1,1
64,55,165,300,696,491,54,0
63,70,674,503,696,502,39,0
47,44,180,582,697,140,17,0
42,60,24,485,697,248,51,0
32,63,580,463,697,266,23,0
54,44,1143,311,697,267,62,0
45,54,1014,363,697,481,33,0
69,50,10,590,698,391,76,0
41,56,14,191,672,366,61,0
62,48,793,579,673,66,84,0
68,110,506,416,699,192,88,0
33,73,1024,623,699,216,9,0
56,59,759,127,699,444,5,0
32,65,959,168,699,494,82,0
38,106,1240,53,699,652,38,1
47,64,1185,151,700,439,68,0
43,49,3,213,701,134,12,0
43,58,12,127,701,329,6,0
64,88,483,389,701,449,68,0
66,71,529,437,701,449,57,0
45,56,937,459,701,449,32,0
38,52,869,437,701,509,54,0
37,89,463,77,701,670,3,0
70,143,783,437,701,670,29,0
68,98,1099,473,702,311,49,0
20,62,1040,136,703,276,32,0
27,39,756,77,703,666,27,0
27,64,1089,642,704,276,72,0
24,57,718,578,704,634,4,0
52,47,1151,418,705,426,85,0
26,44,707,216,706,570,57,0
64,57,539,514,707,306,69,0
70,29,389,643,708,670,0,0
24,41,816,390,709,59,17,0
67,46,1270,211,709,511,18,0
30,48,1220,133,710,4,71,0
31,45,95,363,710,4,78,0
54,100,1196,363,710,4,84,0
56,73,459,641,710,4,10,0
31,5,124,461,710,6,89,0
64,54,668,402,710,8,73,0
43,57,932,547,710,12,34,0
39,121,697,623,710,14,7,0
63,82,803,127,710,15,8,0
65,46,178,615,710,22,78,0
63,39,1177,244,710,24,8,0
65,92,881,591,710,27,14,1
58,72,1135,313,710,49,84,0
68,56,458,77,710,58,32,0
64,113,657,377,710,64,1,1
39,54,511,536,710,64,35,0
60,44,671,327,710,65,72,0
66,45,1174,170,710,70,35,0
68,59,428,418,710,74,72,0
