Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
56,57,129,4,64,74,59,49,1,1.0
22,74,586,4,80,74,160,25,1,1.0
36,60,741,4,283,74,194,1,0,1.0
19,35,1576,4,647,74,203,32,0,1.0
26,60,774,4,221,74,222,7,0,1.0
60,139,40,4,39,74,247,15,1,0.0
47,58,39,4,570,74,265,2,0,1.0
27,77,1542,4,147,74,299,74,0,1.0
24,61,1070,8,283,74,299,42,0,0.0
18,50,800,4,737,74,409,14,0,1.0
39,80,618,4,547,74,411,6,0,0.0
34,66,96,4,679,74,411,24,1,0.0
23,86,164,4,153,74,460,31,0,0.0
15,51,750,4,210,74,481,32,0,0.0
16,64,41,4,673,74,481,49,0,1.0
13,50,1438,4,729,74,481,88,0,1.0
17,47,1090,4,2,74,482,26,0,0.0
16,34,433,4,620,74,482,19,0,0.0
34,58,468,4,222,74,570,33,0,0.0
30,70,486,4,397,74,586,34,0,0.0
31,43,1570,4,621,74,586,57,0,0.0
32,41,512,4,738,74,586,69,0,0.0
28,67,1423,4,707,74,586,69,0,0.0
47,63,257,2,460,74,600,67,1,0.0
67,65,678,2,140,74,759,16,0,2.0
68,50,1528,4,696,74,759,16,0,2.0
65,51,1180,0,272,75,304,71,0,2.0
60,88,328,0,626,75,472,45,0,0.0
69,51,1220,8,236,75,547,88,0,2.0
48,54,1471,2,220,76,125,31,0,1.0
60,68,814,4,176,77,620,84,0,2.0
61,21,170,2,492,77,759,20,0,0.0
62,116,82,4,1,78,231,6,1,0.0
51,61,1593,0,590,79,604,54,0,0.0
66,125,1541,4,174,80,356,5,1,0.0
50,84,871,13,507,81,322,65,0,0.0
48,97,62,4,410,81,623,0,1,0.0
51,76,381,4,28,81,696,10,1,0.0
30,67,1324,2,444,82,59,66,0,1.0
54,76,251,6,581,83,161,35,0,0.0
47,54,457,4,233,83,309,36,0,1.0
69,58,536,4,510,83,557,2,0,2.0
52,104,382,4,671,83,611,81,0,0.0
42,72,612,0,137,84,278,77,0,0.0
55,77,491,6,103,85,80,29,0,0.0
31,22,1593,15,131,86,61,89,0,0.0
20,48,830,4,720,87,397,12,0,1.0
46,63,284,4,603,88,497,38,1,0.0
51,65,681,13,206,89,202,57,0,0.0
60,83,692,4,206,89,202,69,0,2.0
68,62,1050,6,152,90,41,72,0,2.0
65,58,1544,4,184,91,537,45,0,2.0
63,65,1553,4,469,91,701,49,0,2.0
71,21,188,2,145,92,759,13,0,2.0
52,49,985,2,125,93,251,83,0,1.0
71,25,779,2,129,93,759,62,0,2.0
36,61,946,2,547,94,17,67,0,1.0
59,89,548,0,481,95,254,86,0,0.0
6,99,1614,12,606,96,722,44,1,0.0
70,66,954,0,137,97,466,6,0,2.0
67,161,615,4,176,97,620,15,0,0.0
63,79,817,4,345,98,34,10,1,2.0
68,81,1266,0,206,98,202,48,0,2.0
51,89,1413,4,507,99,297,83,1,1.0
36,56,1512,12,236,100,534,50,0,0.0
64,61,748,4,536,101,594,45,0,2.0
