Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
12,44,1129,4,630,74,434,88,0,1
16,41,852,4,1,74,435,26,0,0
15,28,354,4,539,74,435,19,0,2
33,52,382,4,204,74,503,33,0,2
29,64,395,4,351,74,517,34,0,2
30,37,1228,4,540,74,517,57,0,2
31,35,416,4,639,74,517,69,0,2
27,61,1116,4,617,74,517,69,0,2
46,57,217,2,401,74,531,67,1,2
66,59,548,2,130,74,670,16,0,2
67,44,1195,4,606,74,670,16,0,2
64,45,921,0,246,75,281,71,0,1
59,82,273,0,544,75,427,45,0,2
68,45,954,8,216,75,485,88,0,1
47,48,1154,2,202,76,119,31,0,0
59,62,638,4,163,77,549,84,0,1
60,16,142,2,427,77,670,20,0,2
61,109,73,4,0,78,217,6,1,0
50,55,1247,0,514,79,534,54,0,2
65,116,1206,4,161,80,325,5,1,0
49,78,680,13,437,81,296,65,0,1
47,91,57,4,363,81,552,0,1,2
50,70,311,4,25,81,611,10,1,2
29,61,1031,2,390,82,59,66,0,1
53,70,211,6,505,83,154,35,0,0
46,48,375,4,214,83,286,36,0,0
68,52,433,4,440,83,491,2,0,2
51,98,312,4,586,83,541,81,0,2
41,66,497,0,127,84,259,77,0,1
54,71,398,6,96,85,80,29,0,0
30,17,1247,15,122,86,61,89,0,1
19,42,650,4,623,87,363,12,0,0
45,57,241,4,524,88,448,38,1,2
50,59,551,13,191,89,190,57,0,1
59,77,558,4,191,89,190,69,0,1
67,56,819,6,141,90,41,72,0,1
64,52,1209,4,170,91,476,45,0,2
62,59,1216,4,409,91,616,49,0,2
70,16,159,2,134,92,670,13,0,2
51,43,775,2,116,93,236,83,0,1
70,20,618,2,120,93,670,62,0,2
35,55,746,2,475,94,17,67,0,1
58,83,442,0,418,95,239,86,0,1
5,93,1264,12,526,96,634,44,1,2
69,60,751,0,127,97,422,6,0,0
66,143,499,4,163,97,549,15,0,2
62,73,639,4,310,98,34,10,1,0
67,75,988,0,191,98,190,48,0,0
50,83,1108,4,437,99,274,83,1,1
35,50,1180,12,216,100,473,50,0,1
63,55,596,4,465,101,525,45,0,2
67,89,301,4,170,102,493,76,0,1
25,64,191,4,205,103,214,73,0,1
64,45,430,2,296,104,302,66,0,1
42,77,779,4,77,105,639,9,0,2
57,58,461,4,24,106,59,58,0,1
65,74,453,8,217,107,480,17,0,2
55,68,266,10,180,108,149,64,0,1
65,71,316,4,314,108,151,29,0,0
65,44,496,0,629,109,350,13,0,0
50,76,399,6,591,110,226,28,1,0
52,66,61,2,354,110,670,82,1,2
59,48,402,4,64,111,334,70,0,1
29,63,1241,12,104,112,216,4,0,0
31,6,590,11,162,113,13,62,0,1
